扮寂,峺炎
2020定,101.7
2019定,102.5
2018定,101.6
2017定,101.7
2016定,103.2
2015定,102.4
2014定,102.7
2013定,102.2981085
2012定,102.8344176
2011定,105.177244
2010定,103.1056
2009定,99.5921
2008定,105.78257
2007定,103.15008
2006定,101.21449
2005定,100.9558
2004定,102.1517
2003定,100.0664
2002定,100.5
2001定,100
2000定,102.5
1999定,101.5
1998定,100
1997定,102.8
1996定,109.2
1995定,118.7
1994定,123.9
1993定,120.2
1992定,110
1991定,110.5
1990定,106.3
1989定,115.9
1988定,120.1
1987定,108.1
1986定,106.3
1985定,115.2
1984定,102.2
1983定,100.2
1982定,100.3
1981定,101.4
1980定,105.9
